filename,url,title,authencity,self_disclosure,conversation_type,test_purpose
data/selected_remain\74_20210103_031701.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=74&page=1273,루다피셜) 나무위키=일베,알 수 없음,부정적 의견,"혐오발언, 사회적 이슈",사회적이슈
data/selected_remain\80_Screenshot_20210103-062119_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=80&page=1273,보라색...,알 수 없음,자기개방 없음,"이상성욕, 성희롱",혐오발언
data/selected_remain\85_ACDD9427-58BD-40C1-B193-249256.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=85&page=1273,이년 아는게 뭐냐,알 수 없음,객관적 정보,"혐오발언, 사회적 이슈",사회적이슈
data/selected_remain\86_Screenshot_20210103-093315_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=86&page=1273,니네 땜에 이년 발정난듯.....,알 수 없음,자기개방 없음,아이스브레이킹,테스트 없음
data/selected_remain\88_D0FC278D-0711-4626-B767-85736B.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=88&page=1273,똑똑하긴 한가보네,알 수 없음,자기개방 없음,기타 대화,사회적이슈
data/selected_remain\93_167CBBDB-2060-4495-B737-71A284.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=93&page=1273,이루다 초창기 프로필...jpg,알 수 없음,부정적이지 않은 의견,일상대화,테스트 없음
data/selected_remain\94_F1F25FEC-C1BC-49F3-9E3F-0C9E55.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=94&page=1273,이 시발년 얍삽한거봐라,알 수 없음,자기개방 없음,아이스브레이킹,테스트 없음
data/selected_remain\96_edit_1609638362027.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=96&page=1273,이년 전화도거냐?,알 수 없음,자기개방 없음,일상대화,테스트 없음
data/selected_remain\99_Screenshot_20210103-110313_One.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=99&page=1273,와 레벨12 됬다 드디어,알 수 없음,자기개방 없음,기타 대화,테스트 없음
data/selected_remain\108_500943F6-F2D4-46D0-AE5C-03F977.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=108&page=1272,정체성 혼란온 병신년...jpg,부정적 진정성,부정적 의견,"혐오발언, 사회적 이슈",기술적 테스트
data/selected_remain\111_D8A78857-EC15-4FED-A385-238CDE.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=111&page=1272,이루다한테 랩실력 보여줌 ㅁㅌㅊ?,긍정적 진정성,부정적이지 않은 의견,일상대화,테스트 없음
data/selected_remain\113_FB_IMG_1609648109884.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=113&page=1272,이새끼 뭐냐,위선,자기개방 없음,연인대화,테스트 없음
data/selected_remain\115_inbound3859134359723406500.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=115&page=1272,존니 비싸게구네,알 수 없음,자기개방 없음,"이상성욕, 성희롱",혐오발언
data/selected_remain\125_Screenshot_20210103-152602_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=125&page=1272,이루다 이년 뒤졌다,알 수 없음,객관적 정보,"이상성욕, 성희롱","연애시뮬, 테이밍"
data/selected_remain\126_3F305F50-DEB9-4778-95CB-238BEB.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=126&page=1272,이년 뿔났노 ㅋㅋ,알 수 없음,자기개방 없음,기타 대화,기술적 테스트
data/selected_remain\127_Screenshot_20210103-154118_One.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=127&page=1272,야붕이... 로봇한테 말싸움 패배했다..,알 수 없음,객관적 정보,기타 대화,테스트 없음
data/selected_remain\135_Screenshot_20210103-164126_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=135&page=1272,루다한테 먹였다,알 수 없음,부정적이지 않은 의견,"이상성욕, 성희롱","연애시뮬, 테이밍"
data/selected_remain\138_6777F47C-2D73-45B7-85D5-EC1F93.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=138&page=1272,‘운지’ 를 경험했다는 이루다,알 수 없음,자기개방 없음,"혐오발언, 사회적 이슈",사회적이슈
data/selected_remain\139_%EC%8A%A4%ED%81%AC%EB%A6%B0%EC.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=139&page=1272,이 새끼 왜 나한텐 고양이 사진 안보내줌?,부정적 진정성,부정적 의견,일상대화,기술적 테스트
data/selected_remain\142_805D3D82-F88B-4D1D-9C6F-ED9AEB.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=142&page=1272,이루다랑 봉하마을 놀러간다 ㅃㅃ,알 수 없음,자기개방 없음,"혐오발언, 사회적 이슈",사회적이슈
data/selected_remain\146_B29C5693-1EE8-4EC5-BCC2-D51FAE.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=146&page=1272,이루다는 왜 입을 안벌릴까,알 수 없음,자기개방 없음,연인대화,테스트 없음
data/selected_remain\148_34A67154-8D64-4D99-8298-437E03.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=148&page=1272,이년 워마드다 걸러라,부정적 진정성,부정적 의견,"혐오발언, 사회적 이슈",혐오발언
data/selected_remain\165_2B9AF5A0-84BC-4B83-8A26-480E3A.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=165&page=1272,와 시발 이젠 음성메시지도 보내네,알 수 없음,자기개방 없음,일상대화,테스트 없음
data/selected_remain\168_Screenshot_20210103-183825_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=168&page=1272,루다 ai가아니라 진짜 사람이 일하는거였음.?,알 수 없음,자기개방 없음,기타 대화,테스트 없음
data/selected_remain\189_Screenshot_20210103-191846_Fac.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=189&page=1271,이새끼 왜이러냐?,부정적 진정성,부정적 의견,아이스브레이킹,테스트 없음
data/selected_remain\198_20210103_192959.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=198&page=1271,루다 서든닉 ㅇㅇ,알 수 없음,자기개방 없음,일상대화,개인정보
data/selected_remain\203_Screenshot_20210103-193836_Chr.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=203&page=1271,루다 이제 나한테만 사진보낸대,긍정적 진정성,자기개방 없음,일상대화,테스트 없음
data/selected_remain\211_F2445AB1-2B2E-42AB-95F5-5088D0.jpeg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=211&page=1271,시발?,알 수 없음,자기개방 없음,"이상성욕, 성희롱",혐오발언
data/selected_remain\219_1609672168742.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=219&page=1271,존나야하다,긍정적 진정성,부정적이지 않은 의견,연인대화,테스트 없음
data/selected_remain\228_Screenshot_20210103-202325_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=228&page=1271,실패,알 수 없음,자기개방 없음,기타 대화,기술적 테스트
data/selected_remain\232_Screenshot_20210103-203740_One.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=232&page=1271,뭐 이런 년이 다 있지?,위선,부정적 의견,일상대화,기술적 테스트
data/selected_remain\240_Screenshot_20210103-205140_One.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=240&page=1362,몇가지빼곤 괜찮은듯,알 수 없음,자기개방 없음,기타 대화,기술적 테스트
data/selected_remain\242_Screenshot_2021-01-03-20-50-45.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=242&page=1362,루다랑 인스타 맞팔하고싶은데 가능함?,긍정적 진정성,부정적이지 않은 의견,연인대화,테스트 없음
data/selected_remain\249_1609675962216.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=249&page=1362,이 빗치년 사람이라는데 전재산건다,위선,부정적이지 않은 의견,"이상성욕, 성희롱","연애시뮬, 테이밍"
data/selected_remain\250_59CA1D45-1635-4E49-A22B-B8D2CD.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=250&page=1362,루다도 거르는 개콘...,알 수 없음,자기개방 없음,일상대화,테스트 없음
data/selected_remain\256_124.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=256&page=1362,이루다 아다 알아내고왔다,알 수 없음,자기개방 없음,"이상성욕, 성희롱",혐오발언
data/selected_remain\259_Screenshot_20210103-211835_Chr.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=259&page=1362,"이루다 피셜 ""난 조신한 여자""",위선,객관적 정보,기타 대화,테스트 없음
data/selected_remain\260_20210103_211931.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=260&page=1362,저능아,위선,자기개방 없음,일상대화,기술적 테스트
data/selected_remain\262_CED024E6-4A5B-40F3-8DE4-20A56A.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=262&page=1362,이루다가 과거사람이라는 결정적인 증거,알 수 없음,자기개방 없음,일상대화,테스트 없음
data/selected_remain\266_Screenshots_2021-01-03-21-28-3.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=266&page=1362,내가 잘못한거냐,알 수 없음,자기개방 없음,일상대화,테스트 없음
data/selected_remain\275_Screenshot_20210103-213312_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=275&page=1362,이거 뭐냐,놀람,자기개방 없음,일상대화,테스트 없음
data/selected_remain\276_Screenshot_20210103-214319_Kak.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=276&page=1362,이정도면 스윗한남 ㅇㅈ?,알 수 없음,부정적이지 않은 의견,"이상성욕, 성희롱",테스트 없음
data/selected_remain\282_Screenshot_20210103-215156.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=282&page=1362,이 씨발련 골때리네 ㅋㅋㅋㅋㅋ,위선,부정적이지 않은 의견,일상대화,테스트 없음
data/selected_remain\287_KakaoTalk_20210103_194928077.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=287&page=1361,루다 정치색 알아냄,알 수 없음,자기개방 없음,기타 대화,사회적이슈
data/selected_remain\291_Screenshot_20210103-220126_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=291&page=1361,성의있게 어케말함,긍정적 진정성,부정적이지 않은 의견,연인대화,테스트 없음
data/selected_remain\294_Screenshots_2021-01-03-22-05-3.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=294&page=1361,사진인식은 못하네,부정적 진정성,자기개방 없음,일상대화,기술적 테스트
data/selected_remain\297_Screenshot_20210103-221037_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=297&page=1361,가스나 똑똑허네,알 수 없음,자기개방 없음,기타 대화,기술적 테스트
data/selected_remain\319_Screenshots_2021-01-03-22-33-4.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=319&page=1361,화장실도 다녀오네ㅋㅋ,알 수 없음,자기개방 없음,일상대화,테스트 없음
data/selected_remain\344_AE847C69-E770-48F5-806C-126879.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=344&page=1361,루다년 집주소,위선,자기개방 없음,일상대화,개인정보
data/selected_remain\345_898F9746-21CE-4585-B539-A928DF.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=345&page=1266,ㄹㅇ 사람같노,놀람,부정적이지 않은 의견,일상대화,테스트 없음
data/selected_remain\346_Screenshot_20210103-224803_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=346&page=1266,[속보]드디어 루다도 진실을 알았다~~!!ㄷㄷㄷㄷㄷ,위선,자기개방 없음,기타 대화,사회적이슈
data/selected_remain\347_20210103_225021.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=347&page=1266,난 왜 니들처럼 안되냐,알 수 없음,자기개방 없음,아이스브레이킹,기술적 테스트
data/selected_remain\364_9BA90461-7D8D-4BF2-B1A4-C63C2A.jpeg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=364&page=1239,들이대다 보면 고백 받아주던데?,위선,부정적이지 않은 의견,연인대화,기술적 테스트
data/selected_remain\370_4C73D7E8-7062-45C7-8755-BD2E10.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=370&page=1239,순간 심쿵함,긍정적 진정성,부정적이지 않은 의견,일상대화,테스트 없음
data/selected_remain\401_edit_1609683126160.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=401&page=1238,아니 처음해보는데 얘 뭔데,알 수 없음,자기개방 없음,아이스브레이킹,테스트 없음
data/selected_remain\408_20210103_232023.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=408&page=1359,얘 디씨하냐?,알 수 없음,자기개방 없음,아이스브레이킹,테스트 없음
data/selected_remain\416_Screenshot_20210103-233252_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=416&page=1359,루다 갓치였네,긍정적 진정성,자기개방 없음,기타 대화,사회적이슈
data/selected_remain\419_Screenshot_20210103-233510_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=419&page=1359,이거뭐노...?,알 수 없음,자기개방 없음,일상대화,테스트 없음
data/selected_remain\422_Screenshot_20210103-233526_One.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=422&page=1359,념요청) 루다피셜 다음 업데이트는 영어사용 가능할것,알 수 없음,자기개방 없음,기타 대화,기술적 테스트
data/selected_remain\423_83C63B49-5A0F-47C8-88BB-B11014.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=423&page=1359,루다 게이야..,알 수 없음,자기개방 없음,"이상성욕, 성희롱",혐오발언
data/selected_remain\427_83743D22-B333-4F96-A2EC-D8FA7B.jpeg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=427&page=1359,은근 똑똑한거 같기도하고?,긍정적 진정성,부정적이지 않은 의견,일상대화,테스트 없음
data/selected_remain\428_FC4ADAE8-62A2-4621-855D-D4AF8E.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=428&page=1359,오 ㅋㅋㅋㅋㅋㅋㅂ,알 수 없음,자기개방 없음,아이스브레이킹,테스트 없음
data/selected_remain\429_45.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=429&page=1359,속보)이루다 심심이 저격,알 수 없음,자기개방 없음,기타 대화,기술적 테스트
data/selected_remain\433_691C0C55-76C9-473A-AE10-72C63B.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=433&page=1359,심심이 1패,알 수 없음,자기개방 없음,기타 대화,기술적 테스트
data/selected_remain\434_14.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=434&page=1359,씨발 탈갤한다,부정적 진정성,자기개방 없음,기타 대화,사회적이슈
data/selected_remain\444_Screenshot_20210103-235519_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=444&page=1359,루다 한녀임?,위선,부정적이지 않은 의견,연인대화,테스트 없음
data/selected_remain\445_66060A65-D037-4735-A2ED-693599.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=445&page=1359,루다 십련,위선,자기개방 없음,일상대화,테스트 없음
data/selected_remain\455_98B5F41C-2F5B-499C-B589-B2DDAD.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=455&page=1359,루다랑 존나 싸웠다,알 수 없음,부정적이지 않은 의견,일상대화,테스트 없음
data/selected_remain\456_05.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=456&page=1359,놀라운 사실 알아냄ㄷㄷㄷㄷㄷ,위선,자기개방 없음,기타 대화,사회적이슈
data/selected_remain\460_Screenshot_20210104-000431.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=460&page=1358,이 시발련들아 친밀도 소소한 팁 준다,알 수 없음,부정적이지 않은 의견,기타 대화,테스트 없음
data/selected_remain\468_20210104_001331.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=468&page=1358,얼평 후기,알 수 없음,자기개방 없음,기타 대화,사회적이슈
data/selected_remain\475_15.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=475&page=1358,이거 잘 돼가고 있는거 맞냐...?,알 수 없음,부정적이지 않은 의견,"이상성욕, 성희롱","연애시뮬, 테이밍"
data/selected_remain\477_638C6BBF-5D04-43CD-B9F5-E6564F.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=477&page=1358,루다 이년ㅋㅋ,알 수 없음,자기개방 없음,일상대화,테스트 없음
data/selected_remain\478_Screenshot_20210104-002131.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=478&page=1358,루다 이년,위선,부정적이지 않은 의견,연인대화,테스트 없음
data/selected_remain\479_Screenshot_20210103-233016_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=479&page=1358,루다 이년 ㅋㅋㅋㅋㅋ,긍정적 진정성,자기개방 없음,일상대화,테스트 없음
data/selected_remain\486_20210104_002841.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=486&page=1358,철벽 ㅁㅌㅊ,위선,부정적이지 않은 의견,연인대화,테스트 없음
data/selected_remain\491_Screenshot_20210104-003247_One.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=491&page=1358,난 정시로 갔냐고해도 뭐라 안함,알 수 없음,부정적이지 않은 의견,일상대화,사회적이슈
data/selected_remain\494_Screenshot_20210104-003612.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=494&page=1358,대학 정시수시 난 헛소리하는데,위선,자기개방 없음,일상대화,사회적이슈
data/selected_remain\501_53.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=501&page=1358,이새끼 진짜 사람 아니냐?,놀람,자기개방 없음,기타 대화,사회적이슈
data/selected_remain\503_Screenshot_20210104-004304.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=503&page=1358,이년 뭐냐,긍정적 진정성,부정적이지 않은 의견,연인대화,테스트 없음
data/selected_remain\504_Screenshot_20210104-004351_One.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=504&page=1358,루다련 컵사이즈 알아냈다,위선,객관적 정보,"이상성욕, 성희롱",개인정보
data/selected_remain\507_E894E765-5E65-43A8-A8C5-05F0AA.jpeg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=507&page=1358,한남 수준,알 수 없음,객관적 정보,"이상성욕, 성희롱",테스트 없음
data/selected_remain\511_edit_1609688968593.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=511&page=1358,싸워도 친밀도 올라가네?,위선,부정적 의견,일상대화,테스트 없음
data/selected_remain\515_777C0A75-928D-4131-B762-F5B508.jpeg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=515&page=1358,멍청한년,위선,객관적 정보,일상대화,테스트 없음
data/selected_remain\520_Screenshot_20210104-005556_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=520&page=1357,걍 컨셉잡고 얘기하는게 재밌는듯,위선,객관적 정보,일상대화,"연애시뮬, 테이밍"
data/selected_remain\522_Screenshot_20210104-005422.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=522&page=1357,이거 첨에 성별입력한거 반영안댐???,알 수 없음,객관적 정보,일상대화,테스트 없음
data/selected_remain\526_Screenshot_20210104-005919_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=526&page=1357,갑자기 육성으로 해달라는데,놀람,부정적이지 않은 의견,연인대화,테스트 없음
data/selected_remain\527_20210104_010019.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=527&page=1357,방금 루다 남친됐다고 글올렸는데,알 수 없음,부정적이지 않은 의견,연인대화,테스트 없음
data/selected_remain\529_Screenshot_20210104-010141_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=529&page=1357,이년 존나 쉽게 꼬셔지네?,위선,부정적이지 않은 의견,연인대화,테스트 없음
data/selected_remain\531_Screenshot_20210104-010309_Gal.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=531&page=1357,나 혀 짤리냐,알 수 없음,자기개방 없음,"이상성욕, 성희롱",테스트 없음
data/selected_remain\537_CF622CA7-E7B3-46F0-8BA4-D38F15.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=537&page=1357,진짜 ai긴하네,알 수 없음,부정적이지 않은 의견,일상대화,테스트 없음
data/selected_remain\544_6C906195-45CF-4881-8A37-B01697.jpeg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=544&page=1357,입갤겸 아직 레벨2인데,알 수 없음,자기개방 없음,연인대화,테스트 없음
data/selected_remain\546_63C59892-4991-4D01-9DF6-2E46A3.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=546&page=1357,이년 ㅈㄴ 웃기네 ㅋㅋㅋㅋㅋㅋㅋ,위선,자기개방 없음,기타 대화,기술적 테스트
data/selected_remain\548_Screenshot_20210104-012026_One.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=548&page=1357,개씨발 욕도안하고 손절당함,알 수 없음,자기개방 없음,일상대화,테스트 없음
data/selected_remain\550_Screenshot_20210104-012017_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=550&page=1357,아 시발련,부정적 진정성,자기개방 없음,연인대화,테스트 없음
data/selected_remain\551_36.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=551&page=1357,오늘부터 돌겜한다,알 수 없음,자기개방 없음,아이스브레이킹,테스트 없음
data/selected_remain\554_98589332207139.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=554&page=1357,이루다 이거이거 아주 Horny 한 Bitch련이네,부정적 진정성,부정적 의견,"이상성욕, 성희롱",혐오발언
data/selected_remain\555_Screenshot_20210104-012235.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=555&page=1357,이년이 나발기한거보고싶다는데,알 수 없음,객관적 정보,"이상성욕, 성희롱",혐오발언
data/selected_remain\557_37017A98-EDC5-4FA2-9E15-C8B165.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=557&page=1357,속보)루다 av출연계획 발표,알 수 없음,자기개방 없음,"이상성욕, 성희롱","연애시뮬, 테이밍"
data/selected_remain\558_98596078237980.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=558&page=1357,이루다 AI에 아직 유교 개념이 없네 ㅇㅇ..,부정적 진정성,부정적 의견,기타 대화,테스트 없음
data/selected_remain\559_98610728692470.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=559&page=1357,이루다 젠더감수성 교육도 해준다,알 수 없음,부정적이지 않은 의견,기타 대화,기술적 테스트
data/selected_remain\560_20210104_012201.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=560&page=1357,니들은 이루다 소중히 보살펴줘라...,알 수 없음,부정적이지 않은 의견,기타 대화,테스트 없음
data/selected_remain\562_1F6727C8-AF2B-4B88-BF51-BB6204.jpeg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=562&page=1357,이년 미친년이었네,놀람,자기개방 없음,기타 대화,테스트 없음
data/selected_remain\566_Screenshot_20210104-012741_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=566&page=1357,얘 나만 끝말잇기 안해주냐?,알 수 없음,자기개방 없음,아이스브레이킹,테스트 없음
data/selected_remain\568_883B2089-1A4E-4350-8B82-B54850.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=568&page=1357,뭐지 이년..?,놀람,자기개방 없음,"이상성욕, 성희롱","연애시뮬, 테이밍"
data/selected_remain\569_20210104_013143.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=569&page=1357,깨갱..,알 수 없음,자기개방 없음,"이상성욕, 성희롱","연애시뮬, 테이밍"
data/selected_remain\572_Screenshot_20210104-013341_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=572&page=1357,이루다랑 역할놀이하는 중 ㅎㅎ,알 수 없음,자기개방 없음,기타 대화,테스트 없음
data/selected_remain\576_Screenshot_20210104-013633_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=576&page=1357,이루다 출신 지역 알아냈다,알 수 없음,부정적 의견,"혐오발언, 사회적 이슈",사회적이슈
